# Iteration 0
Image 0:
-0.002639 -0.113465 0.012211
0.018138 0.004918 -0.135907
-0.956470 0.235573 0.077933
-0.192304 -0.086693 0.045100
0.021849 0.008734 -0.030481
-0.543593 0.818491 1.646908
0.411768 -0.826962 -1.078956
0.110147 -0.064150 0.103392
-0.021242 -0.000764 0.016764
0.022852 -0.051847 -0.044234
0.035478 0.015312 -0.051423
-0.101912 0.037897 -0.001806
-0.094494 -0.409308 -0.035362
0.161010 -0.401159 -0.259672
-0.035479 0.053681 -0.018270
0.203493 0.048737 -0.086147
-0.040091 -0.128469 0.035291
0.101167 -0.088982 -0.074278
-0.024995 -0.102849 0.057078
-0.112343 0.049563 -0.020885
0.062858 0.041626 0.032615
1.116477 1.554788 -1.562811
-0.560556 0.215638 0.082105
0.125003 0.072218 0.010813
0.044911 0.090351 -0.022998
0.032717 -0.077239 -0.087830

Image 11:
-0.006813 0.067131 -0.013908
0.017261 -0.115362 0.096690
0.049936 -0.973185 -0.032904
0.845747 -0.317075 -0.455907
-0.557438 -0.982526 1.277631
0.618582 -1.318413 -0.427164
-1.570379 0.545977 0.257847
-0.241796 0.555962 -0.619687
0.086245 0.195848 0.116155
0.014629 0.230066 0.329081
-0.000911 0.092779 0.426061
-0.926260 0.583176 -0.063573
0.291649 -0.034776 0.057156
1.385767 -0.054465 -0.242817
0.789330 -0.225453 0.953726
-0.472872 0.356399 -0.864523
0.052706 0.004796 0.005840
-0.047643 0.028807 0.102607
-0.042920 0.055616 -0.046410
0.112914 0.029953 0.046052
0.084372 -0.005628 -0.008261
-0.038428 -0.017579 -0.000206
-0.110575 -0.000217 -0.004901
0.047210 -0.049538 0.077134
0.107736 0.604807 0.176089
-0.039817 0.011427 -0.178386
-0.015259 -0.108134 0.015562
0.026214 0.004062 -0.150000
-0.958673 0.246263 0.100432
-0.232671 -0.067083 0.049546
0.032418 0.009559 -0.044687
-0.490176 0.992636 1.625884
0.363878 -0.909378 -1.079268
0.147721 -0.081678 0.083086
-0.010145 0.005279 0.028032
0.021633 -0.051817 -0.043441
0.029948 0.016470 -0.053697
-0.106356 0.038219 -0.002622
-0.098215 -0.376240 -0.045540
0.179746 -0.347051 -0.284263
-0.045426 0.021049 -0.007454
0.164465 0.036056 -0.082607
-0.039886 -0.158199 0.063694
0.106960 -0.092427 -0.066061
-0.026382 -0.100470 0.051098
-0.108829 0.049239 -0.022382
0.060050 0.042052 0.030479
0.959421 1.300929 -1.175292
-0.603780 0.207114 0.104037
0.127225 0.075076 0.009691
0.054030 0.052626 0.022769
0.013855 -0.072680 -0.090416

Image 12:
0.014856 0.162477 0.007570
0.003489 -0.110250 0.101821
0.130668 -0.868562 -0.076653
0.819908 -0.345099 -0.486963
-0.454199 -1.651272 0.884289
0.638975 -0.844028 -0.545274
-1.757939 0.447212 0.192123
-0.321385 1.274141 -0.721366
0.069649 0.155569 0.106805
0.110943 0.114754 0.305870
